folder,filename,focus,exposure,clipped,mask_ratio,backend,passed,reasons
right_eye,1.jpeg,55.1,38.24,0.0,0.0523,refined,True,
right_eye,2.jpeg,61.92,40.69,0.00283,0.0817,refined,True,
right_eye,3.jpeg,135.42,40.5,0.0,0.0892,refined,True,
right_eye,4.jpeg,129.92,27.44,0.0,0.1707,refined,True,
right_eye,5.jpeg,294.2,34.56,0.0,0.1612,refined,True,
right_eye,6.jpeg,36.1,35.35,0.0,0.1918,refined,True,
right_eye,7.jpeg,65.55,30.8,0.0,0.1014,refined,True,
right_eye,8.jpeg,162.8,45.21,0.0,0.0529,refined,True,
right_eye,9.jpeg,164.65,43.25,0.0,0.1126,refined,True,
right_eye,10.jpeg,110.37,32.22,0.0,0.1229,refined,True,
right_eye,11.jpeg,132.8,33.4,0.0,0.0313,refined,True,
right_eye,12.jpeg,46.42,43.53,3e-05,0.0162,refined,True,
right_eye,13.jpeg,67.17,30.25,0.0,0.1468,refined,True,
right_eye,14.jpeg,51.87,35.99,0.0,0.0799,refined,True,
right_eye,15.jpeg,96.95,24.4,0.0,0.0954,refined,True,
right_eye,16.jpeg,68.91,30.89,0.0,0.063,refined,True,
right_eye,17.jpeg,131.14,41.87,0.0,0.0903,refined,True,
right_eye,18.jpeg,170.89,34.97,0.0,0.061,refined,True,
right_eye,19.jpeg,122.34,32.98,0.0,0.0736,refined,True,
right_eye,20.jpeg,71.43,33.03,0.0,0.1375,refined,True,
right_eye,21.jpeg,71.05,40.16,0.0,0.066,refined,True,
right_eye,22.jpeg,246.92,32.88,0.0,0.1187,refined,True,
right_eye,23.jpeg,39.8,36.12,0.0,0.1281,refined,True,
right_eye,24.jpeg,104.2,34.32,0.0,0.0921,refined,True,
right_eye,25.jpeg,83.58,37.2,0.0,0.1401,refined,True,
right_eye,26.jpeg,99.09,34.59,0.0,0.085,refined,True,
